id,node_id,network_collection,network_domain,subnet_description,subnet_collection,node_description,node_collection,input_description,input_collection,data_unit,storage_method,storage_duration,meter_constants
183,050157C5EE00,Com 1,Net_01,Main Boiler House ,61,Meters,1,FurFyd Res Gas,6,m3,Minutely,30,1
184,050157C5EE00,Com 1,Net_01,Main Boiler House ,61,Meters,1,Firm Gas,7,m3,Minutely,30,1
185,050157C5EE00,Com 1,Net_01,Main Boiler House ,61,Meters,1,3 Gas Boilers,8,m3,Minutely,30,1
186,050157C69800,Com 1,Net_01,Tower plantroom,82,Meters,1,Hair D 1 Water,1,m3,Minutely,30,1000
187,050157C69800,Com 1,Net_01,Tower plantroom,82,Meters,1,Tower Electric,2,kWh,Minutely,30,1
188,050157C69800,Com 1,Net_01,Tower plantroom,82,Meters,1,Create Electric,3,kWh,Minutely,30,1000
189,050157C69800,Com 1,Net_01,Tower plantroom,82,Meters,1,Create Water,4,m3,Minutely,30,1000
190,050157C69800,Com 1,Net_01,Tower plantroom,82,Meters,1,Tower Dis Board,5,kWh,Minutely,30,1
191,050157C69800,Com 1,Net_01,Tower plantroom,82,Meters,1,Greggs Electric,6,kWh,Minutely,30,1000
192,050157C69800,Com 1,Net_01,Tower plantroom,82,Meters,1,Input 7,7,kWh,Minutely,30,1
193,050157C69800,Com 1,Net_01,Tower plantroom,82,Meters,1,Greggs Water,8,kWh,Minutely,30,1000
194,050157C7D800,Com 1,Net_01,George Fox A65,18,Meters,1,Electric Meter,1,kWh,Minutely,30,1
195,050157C7D800,Com 1,Net_01,George Fox A65,18,Meters,1,Water Meter,2,m3,Minutely,30,1
196,050157C7D800,Com 1,Net_01,George Fox A65,18,Meters,1,Chinese Water,3,m3,Minutely,30,1000
197,050157C84000,Com 1,Net_01,Great Hall A32,39,Meters,1,Electric Meter,1,kWh,Minutely,30,1
198,050157C84000,Com 1,Net_01,Great Hall A32,39,Meters,1,Gas Meter,2,m3,Minutely,30,1
199,050157C97800,Com 1,Net_01,Bowland Annexe Plant Room 2,2,Meters,1,Annexe Water ,1,m3,Minutely,30,1
200,050157C97800,Com 1,Net_01,Bowland Annexe Plant Room 2,2,Meters,1,Ash Electric,2,kWh,Minutely,30,1
201,050157C97800,Com 1,Net_01,Bowland Annexe Plant Room 2,2,Meters,1,Ash Heat,3,kWh,Minutely,30,1
202,050157C97800,Com 1,Net_01,Bowland Annexe Plant Room 2,2,Meters,1,Annexe Heat ,4,kWh,Minutely,30,1
203,050157C97800,Com 1,Net_01,Bowland Annexe Plant Room 2,2,Meters,1,Annexe Gas,5,kWh,Minutely,30,1
204,050157C97800,Com 1,Net_01,Bowland Annexe Plant Room 2,2,Meters,1,Imm Heater No 2,6,kWh,Minutely,30,1
205,050157C97800,Com 1,Net_01,Bowland Annexe Plant Room 2,2,Meters,1,Imm Heater No 1,7,kWh,Minutely,30,1
206,050157C97800,Com 1,Net_01,Bowland Annexe Plant Room 2,2,Meters,1,Muslim Prayer Rm,8,kWh,Minutely,30,1
207,050157C99B00,Com 1,Net_01,Bailrigg House,29,Ground Floor,1,Electric Meter,1,kWh,Minutely,30,1000
208,050157CA0E00,Com 1,Net_01,Furness Colton,69,Meters,1,Water,1,m3,Minutely,30,1
209,050157CAD800,Com 1,Net_01,Fylde Pilling,75,Meter,1,Water,1,m3,Minutely,30,1
210,050159F5B000,Com 1,Net_01,Sub Station 3,8,Meters,1,CntySth75 76 77,1,kWh,Minutely,30,1
211,050159F5B000,Com 1,Net_01,Sub Station 3,8,Meters,1,No 1 Transformer,2,kWh,Minutely,30,1
212,050159F5B000,Com 1,Net_01,Sub Station 3,8,Meters,1,Nerc W Shop Elec,3,kWh,Minutely,30,1
213,050159F5B000,Com 1,Net_01,Sub Station 3,8,Meters,1,No 2 Transformer,4,kWh,Minutely,30,1
214,050159F5B000,Com 1,Net_01,Sub Station 3,8,Meters,1,County Town Elec,5,kWh,Minutely,30,1
215,050159F5B000,Com 1,Net_01,Sub Station 3,8,Meters,1,BowHall Gas 1-15,6,m3,Minutely,30,1
216,050159F5B000,Com 1,Net_01,Sub Station 3,8,Meters,1,CEH Workshops 1,7,kWh,Minutely,30,1
217,050198367D00,Com 1,Net_01,Uni House Phase 1,16,Meters,1,Uni House Ph 1,1,kWh,Minutely,30,1
218,050198367D00,Com 1,Net_01,Uni House Phase 1,16,Meters,1,Uni House Ph 2,2,kWh,Minutely,30,1
219,050198367D00,Com 1,Net_01,Uni House Phase 1,16,Meters,1,Uni House D Flr,3,kWh,Minutely,30,1
220,050198367D00,Com 1,Net_01,Uni House Phase 1,16,Meters,1,Heat Meter,4,kWh,Minutely,30,1
221,050198367D00,Com 1,Net_01,Uni House Phase 1,16,Meters,1,Water Meter,5,m3,Minutely,30,1
222,050198367D00,Com 1,Net_01,Uni House Phase 1,16,Meters,1,Immersion Heater,6,kWh,Minutely,30,1
223,050198367E00,Com 1,Net_01,County South C20 Modem,117,Meters,1,Flt 1011121314 ,1,kWh,Minutely,30,1
224,05019836F200,Com 1,Net_01,Pre School Plant Room,30,Meters,1,Electric Meter,1,kWh,Minutely,30,1
225,05019836F200,Com 1,Net_01,Pre School Plant Room,30,Meters,1,Water Meter,2,m3,Minutely,30,1000
226,05019836F200,Com 1,Net_01,Pre School Plant Room,30,Meters,1,Gas Meter,3,m3,Minutely,30,10
227,05019838EB00,Com 1,Net_01,Barker House Plant Room,44,Sub No 7 Logger No 45,2,Transformer No 1,1,kWh,Minutely,30,1
228,05019838EB00,Com 1,Net_01,Barker House Plant Room,44,Sub No 7 Logger No 45,2,Transformer No 2,2,kWh,Minutely,30,1
229,0501983B4300,Com 1,Net_01,Whewell Plant Room,10,Meters,1,Electric Meter,1,kWh,Minutely,1,1
230,0501983B4300,Com 1,Net_01,Whewell Plant Room,10,Meters,1,Water Meter,2,m3,Minutely,30,1000
231,0501983CDA00,Com 1,Net_01,County Town Houses,84,Meters,1,Water Meter,1,m3,Minutely,30,1
232,0501983CDA00,Com 1,Net_01,County Town Houses,84,Meters,1,Gas ,2,kWh,Minutely,30,1
233,0501987F4400,Com 1,Net_01,The Croft,73,Node 1,1,Water Meter,1,m3,Minutely,30,1
234,0501987F4400,Com 1,Net_01,The Croft,73,Node 1,1,Gas Meter,2,kWh,Minutely,30,1
235,0501987F4700,Com 1,Net_01,Satelite Sub Station,59,Meters,1,No 1 Transformer,1,kWh,Minutely,30,1
236,0501987F4700,Com 1,Net_01,Satelite Sub Station,59,Meters,1,Fylde Res Elect,2,kWh,Minutely,30,1
237,0501987F4700,Com 1,Net_01,Satelite Sub Station,59,Meters,1,Furn Res Elect,3,kWh,Minutely,30,1
238,050198807A00,Com 1,Net_01,County South C56 ,115,Meters,1,BD B2 Power,1,kWh,Minutely,30,1
239,050198807A00,Com 1,Net_01,County South C56 ,115,Meters,1,BD B2 Lighting,2,kWh,Minutely,30,1
240,050198812D00,Com 1,Net_01,County South Laundrette,94,Meters,1,Cnty Sth Ldry W,1,m3,Minutely,30,1
241,050198812D00,Com 1,Net_01,County South Laundrette,94,Meters,1,Cnty Sth Ldry G,2,kWh,Minutely,30,1
242,050198812D00,Com 1,Net_01,County South Laundrette,94,Meters,1,Plant Room Light,3,kWh,Minutely,30,1
243,050198812D00,Com 1,Net_01,County South Laundrette,94,Meters,1,Plant Room Power,4,kWh,Minutely,30,1
244,050198812D00,Com 1,Net_01,County South Laundrette,94,Meters,1,Plant Room Water,5,kWh,Minutely,30,1
245,050198812D00,Com 1,Net_01,County South Laundrette,94,Meters,1,Heat Meter,6,kWh,Minutely,30,1
246,050198812D00,Com 1,Net_01,County South Laundrette,94,Meters,1,FASS MCCP ,7,kWh,Minutely,30,1
247,050198829500,Com 1,Net_01,Slaidburn House,43,Meters,1,Sultan Resturant,1,kWh,Minutely,30,1
248,050198829500,Com 1,Net_01,Slaidburn House,43,Meters,1,Student Union,2,kWh,Minutely,30,1
249,050198829500,Com 1,Net_01,Slaidburn House,43,Meters,1,T Mobile,3,kWh,Minutely,30,1
250,050198829500,Com 1,Net_01,Slaidburn House,43,Meters,1,Spar Shop No 2,4,kWh,Minutely,30,1
251,050198829500,Com 1,Net_01,Slaidburn House,43,Meters,1,Spar Shop No 1,5,kWh,Minutely,30,1
252,050198829500,Com 1,Net_01,Slaidburn House,43,Meters,1,Slaidburn House,6,kWh,Minutely,30,1
253,050198829500,Com 1,Net_01,Slaidburn House,43,Meters,1,Spar Water,7,m3,Minutely,30,1000
254,050198829500,Com 1,Net_01,Slaidburn House,43,Meters,1,LUSU Shop Water,8,m3,Minutely,30,1
255,05019884CF00,Com 1,Net_01,George Fox A65,18,Logger 17,2,GF Chinese Elect,1,kWh,Minutely,30,1
256,05019884CF00,Com 1,Net_01,George Fox A65,18,Logger 17,2,GF Chinese Gas,2,m3,Minutely,30,1
257,050198864300,Com 1,Net_01,George Fox B27,19,Meters,1,Heat Meter,1,kWh,Minutely,30,1
258,050198864300,Com 1,Net_01,George Fox B27,19,Meters,1,Imm Heater Gd Fl,2,kWh,Minutely,30,1
259,050198864300,Com 1,Net_01,George Fox B27,19,Meters,1,Imm Htr 1st Fl,3,kWh,Minutely,30,1
260,050198864300,Com 1,Net_01,George Fox B27,19,Meters,1,G Fox B Flr N E,4,kWh,Minutely,1,1
261,050198864300,Com 1,Net_01,George Fox B27,19,Meters,1,G Fox B Flr S W,5,kWh,Minutely,30,1
262,050198872600,Com 1,Net_01,Tower plantroom,82,Barclays Bank Logger No 95,3,Electric,1,kWh,Minutely,30,1000
263,050198872600,Com 1,Net_01,Tower plantroom,82,Barclays Bank Logger No 95,3,Water,2,m3,Minutely,30,1000
264,050198872F00,Com 1,Net_01,ISS Building,100,Meters,1,Future UPS,1,kWh,Minutely,30,1
265,050198872F00,Com 1,Net_01,ISS Building,100,Meters,1,Heat Meter ISS,3,kWh,Minutely,30,1
266,050198872F00,Com 1,Net_01,ISS Building,100,Meters,1,Water Meter ISS,4,kWh,Minutely,30,1
267,050198872F00,Com 1,Net_01,ISS Building,100,Meters,1,UPSLV-US-1,5,kWh,Minutely,30,1
268,050198872F00,Com 1,Net_01,ISS Building,100,Meters,1,UPSLV-US-2,7,kWh,Minutely,30,1
269,050198872F00,Com 1,Net_01,ISS Building,100,Meters,1,UPSLV-US-3,8,kWh,Minutely,30,1
270,0501988B3100,Com 1,Net_01,Courses Centre,32,Meters,1,Electric Meter,1,kWh,Minutely,30,1
271,0501988B3100,Com 1,Net_01,Courses Centre,32,Meters,1,Water Meter,2,m3,Minutely,30,1000
272,0501988B3100,Com 1,Net_01,Courses Centre,32,Meters,1,Gas Meter,3,kWh,Minutely,30,1
273,0501988C0B00,Com 1,Net_01,Grizedale Bar,101,Meters,1,Griz Bar Elect,1,kWh,Minutely,30,1
274,0501988C0B00,Com 1,Net_01,Grizedale Bar,101,Meters,1,Griz Bar Water,2,m3,Minutely,30,1
275,0501988C0B00,Com 1,Net_01,Grizedale Bar,101,Meters,1,Griz Bar Gas,3,kWh,Minutely,30,1
276,0501988C0B00,Com 1,Net_01,Grizedale Bar,101,Meters,1,Griz Laun Elect,4,kWh,Minutely,30,1
277,0501988C0B00,Com 1,Net_01,Grizedale Bar,101,Meters,1,Griz Laun Water,5,kWh,Minutely,30,1
278,0501988C0B00,Com 1,Net_01,Grizedale Bar,101,Meters,1,Griz Laun Gas,6,kWh,Minutely,30,1
279,0501988C0B00,Com 1,Net_01,Grizedale Bar,101,Meters,1,Griz Laun Light,7,kWh,Minutely,30,1
280,0501988C0B00,Com 1,Net_01,Grizedale Bar,101,Meters,1,Griz Bar Heat,8,kWh,Minutely,30,1
281,0501988C7A00,Com 1,Net_01,Lec II Nerc Plant Rm,63,Meters,1,NERC LEC Lab Gas,1,kWh,Minutely,30,1
282,0501988C7A00,Com 1,Net_01,Lec II Nerc Plant Rm,63,Meters,1,LEC NERC Blr Gas,2,kWh,Minutely,30,1
283,0501988FC000,Com 1,Net_01,Sultan,90,Logger 90 - Meters,1,Sultan - Water,1,m3,Minutely,30,1000
284,0501988FC000,Com 1,Net_01,Sultan,90,Logger 90 - Meters,1,Sultan - Gas,2,m3,Minutely,30,100
285,0501988FC000,Com 1,Net_01,Sultan,90,Logger 90 - Meters,1,Ketchup Gas,3,m3,Minutely,30,1000
286,0501988FCB00,Com 1,Net_01,Furness Perimeter Plant Room,36,Meters,1,Electric Meter,1,kWh,Minutely,30,1
287,0501988FCB00,Com 1,Net_01,Furness Perimeter Plant Room,36,Meters,1,Water meter,2,m3,Minutely,30,1
288,0501988FCB00,Com 1,Net_01,Furness Perimeter Plant Room,36,Meters,1,Heat Meter,3,kWh,Minutely,30,1
289,0501988FCB00,Com 1,Net_01,Furness Perimeter Plant Room,36,Meters,1,Immersion Heater,4,kWh,Minutely,30,1
290,0501E384B100,Com 1,Net_01,New Sports Centre,129,Sports Centre Logger 130,2,Steam Room,1,kWh,Minutely,30,1
291,0501E384B100,Com 1,Net_01,New Sports Centre,129,Sports Centre Logger 130,2,AHU1,2,kWh,Minutely,30,1
292,0501E384B100,Com 1,Net_01,New Sports Centre,129,Sports Centre Logger 130,2,AHU2,3,kWh,Minutely,30,1
293,0501E384B100,Com 1,Net_01,New Sports Centre,129,Sports Centre Logger 130,2,FLOATING FLOOR,4,kWh,Minutely,30,1
294,0501E384B100,Com 1,Net_01,New Sports Centre,129,Sports Centre Logger 130,2,MECH PANEL 1,5,kWh,Minutely,30,1
295,0501E384B100,Com 1,Net_01,New Sports Centre,129,Sports Centre Logger 130,2,MECH PANEL 2,6,kWh,Minutely,30,1
296,0501E384B100,Com 1,Net_01,New Sports Centre,129,Sports Centre Logger 130,2,Passenger Lift,7,kWh,Minutely,30,1
297,0501E384B100,Com 1,Net_01,New Sports Centre,129,Sports Centre Logger 130,2,SAUNA,8,kWh,Minutely,30,1
298,0501E388CE00,Com 1,Net_01,Charles Carter,122,Charles Carter No 1,1,Grd Flr A1 Total,1,kWh,Minutely,30,1
299,0501E388CE00,Com 1,Net_01,Charles Carter,122,Charles Carter No 1,1,Grd Flr A1 Light,2,kWh,Minutely,30,1
300,0501E388CE00,Com 1,Net_01,Charles Carter,122,Charles Carter No 1,1,Grd Flr A2 Total,3,kWh,Minutely,30,1
301,0501E388CE00,Com 1,Net_01,Charles Carter,122,Charles Carter No 1,1,Grd Flr A2 Light,4,kWh,Minutely,30,1
302,0501E388CE00,Com 1,Net_01,Charles Carter,122,Charles Carter No 1,1,1st Flr B1 Total,5,kWh,Minutely,30,1
303,0501E388CE00,Com 1,Net_01,Charles Carter,122,Charles Carter No 1,1,1st Flr B1 Light,6,kWh,Minutely,30,1
304,0501E388CE00,Com 1,Net_01,Charles Carter,122,Charles Carter No 1,1,1st Flr B2 Total,7,kWh,Minutely,30,1
305,0501E388CE00,Com 1,Net_01,Charles Carter,122,Charles Carter No 1,1,1st Flr B2 Light,8,kWh,Minutely,30,1
306,0501E389FE00,Com 1,Net_01,Charles Carter,122,Charles Carter No 3 Logger 124,3,Plant DB Total,1,kWh,Minutely,30,1
307,0501E389FE00,Com 1,Net_01,Charles Carter,122,Charles Carter No 3 Logger 124,3,Comms Room Total,2,kWh,Minutely,30,1
308,0501E389FE00,Com 1,Net_01,Charles Carter,122,Charles Carter No 3 Logger 124,3,Plant Room Total,3,kWh,Minutely,30,1
309,0501E389FE00,Com 1,Net_01,Charles Carter,122,Charles Carter No 3 Logger 124,3,Heat Meter,4,MWh,Minutely,30,100
310,0501E389FE00,Com 1,Net_01,Charles Carter,122,Charles Carter No 3 Logger 124,3,Mech Control,5,kWh,Minutely,30,1
311,0501E389FE00,Com 1,Net_01,Charles Carter,122,Charles Carter No 3 Logger 124,3,Water Meter,6,m3,Minutely,30,1
312,0501E3CFE100,Com 1,Net_01,Energy Centre LHS,125,Meters,1,Circ Pump No 1,1,kWh,Minutely,30,1
313,0501E3CFE100,Com 1,Net_01,Energy Centre LHS,125,Meters,1,Circ Pump No 2,2,kWh,Minutely,30,1
314,0501E3CFE100,Com 1,Net_01,Energy Centre LHS,125,Meters,1,Circ Pump No 3,3,kWh,Minutely,30,1
315,0501E3CFE100,Com 1,Net_01,Energy Centre LHS,125,Meters,1,Circ Pump No 4,4,kWh,Minutely,30,1
316,0501E3CFE100,Com 1,Net_01,Energy Centre LHS,125,Meters,1,Worksh Ht Meter,5,kWh,Minutely,30,1
317,0501E3CFE100,Com 1,Net_01,Energy Centre LHS,125,Meters,1,Water A RHS Rear,7,m3,Minutely,30,1
318,0501E3CFE100,Com 1,Net_01,Energy Centre LHS,125,Meters,1,Water B LHS Rear,8,m3,Minutely,30,1
319,0501E3E63200,Com 1,Net_01,LICA 2,128,LICA 128/1,1,DB 1C ,1,kWh,Minutely,30,1
320,0501E3E63200,Com 1,Net_01,LICA 2,128,LICA 128/1,1,BMS Panel,2,kWh,Minutely,30,1
321,0501E3E63200,Com 1,Net_01,LICA 2,128,LICA 128/1,1,LIFT,3,kWh,Minutely,30,1
322,0501E3E63200,Com 1,Net_01,LICA 2,128,LICA 128/1,1,Chiller,4,kWh,Minutely,30,1
323,0501E3E63200,Com 1,Net_01,LICA 2,128,LICA 128/1,1,Heat Meter,5,MWh,Minutely,30,100
324,0501E3E63200,Com 1,Net_01,LICA 2,128,LICA 128/1,1,Water Meter,6,m3,Minutely,30,100
325,0501E3E77B00,Com 1,Net_01,Charles Carter,122,Charles Carter No 2 Logger 123,2,2nd Flr C1 Total,1,kWh,Minutely,30,1
326,0501E3E77B00,Com 1,Net_01,Charles Carter,122,Charles Carter No 2 Logger 123,2,2nd Flr C1 Light,2,kWh,Minutely,30,1
327,0501E3E77B00,Com 1,Net_01,Charles Carter,122,Charles Carter No 2 Logger 123,2,2nd Flr C2 Total,3,kWh,Minutely,30,1
328,0501E3E77B00,Com 1,Net_01,Charles Carter,122,Charles Carter No 2 Logger 123,2,2nd Flr C2 Light,4,kWh,Minutely,30,1
329,0501E3E77B00,Com 1,Net_01,Charles Carter,122,Charles Carter No 2 Logger 123,2,3rd Flr D1 Total,5,kWh,Minutely,30,1
330,0501E3E77B00,Com 1,Net_01,Charles Carter,122,Charles Carter No 2 Logger 123,2,3rd Flr D1 Light,6,kWh,Minutely,30,1
331,0501E3E77B00,Com 1,Net_01,Charles Carter,122,Charles Carter No 2 Logger 123,2,3rd Flr D2 Total,7,kWh,Minutely,30,1
332,0501E3E77B00,Com 1,Net_01,Charles Carter,122,Charles Carter No 2 Logger 123,2,3rd Flr D2 Light,8,kWh,Minutely,30,1
333,0501E41C3C00,Com 1,Net_01,County Houses 75/76/77,108,Meters,1,Gas,1,kWh,Minutely,30,1
334,0501E41C3C00,Com 1,Net_01,County Houses 75/76/77,108,Meters,1,Water,2,m3,Minutely,30,1
335,0501E41D8C00,Com 1,Net_01,County South C20 Modem,117,Meters Logger 119 Mains,3,BB01 Riser,1,kWh,Minutely,30,1
336,0501E41D8C00,Com 1,Net_01,County South C20 Modem,117,Meters Logger 119 Mains,3,BB02 Riser,2,kWh,Minutely,30,1
337,0501E41D8C00,Com 1,Net_01,County South C20 Modem,117,Meters Logger 119 Mains,3,BB03 Riser,3,kWh,Minutely,30,1
338,0501E41D8C00,Com 1,Net_01,County South C20 Modem,117,Meters Logger 119 Mains,3,LT Plant Room,4,kWh,Minutely,30,1
339,0501E41D8C00,Com 1,Net_01,County South C20 Modem,117,Meters Logger 119 Mains,3,Comm DB,5,kWh,Minutely,30,1
340,0501E41D8C00,Com 1,Net_01,County South C20 Modem,117,Meters Logger 119 Mains,3,Plant Rn Panel,6,kWh,Minutely,30,1
341,0501E4347800,Com 1,Net_01,County South C20 Modem,117,Meter mains Logger 121 ,5,DB A1 Lighting,1,kWh,Minutely,30,1
342,0501E4347800,Com 1,Net_01,County South C20 Modem,117,Meter mains Logger 121 ,5,DB A1 Power,2,kWh,Minutely,30,1
343,0501E4353A00,Com 1,Net_01,County South C20 Modem,117,Meters Logger 120  ,4,DB Laundry,1,kWh,Minutely,30,1
344,0501E4353A00,Com 1,Net_01,County South C20 Modem,117,Meters Logger 120  ,4,Existing Lift,2,kWh,Minutely,30,1
345,0501E4353A00,Com 1,Net_01,County South C20 Modem,117,Meters Logger 120  ,4,DB2 Room A62,3,kWh,Minutely,30,1
346,0501E4353A00,Com 1,Net_01,County South C20 Modem,117,Meters Logger 120  ,4,County Sth IAMS,4,kWh,Minutely,30,1
347,0501E4353A00,Com 1,Net_01,County South C20 Modem,117,Meters Logger 120  ,4,BD LK Room 107,5,kWh,Minutely,30,1
348,0501E4353A00,Com 1,Net_01,County South C20 Modem,117,Meters Logger 120  ,4,DB Ext Power,6,kWh,Minutely,30,1
349,0501E4353A00,Com 1,Net_01,County South C20 Modem,117,Meters Logger 120  ,4,MSBCSLV Sw Board,7,kWh,Minutely,30,1
350,0501E4369600,Com 1,Net_01,Slaidburn House,43,Student Union Logger 113,4,Electric SU Shop,1,kWh,Minutely,30,1
351,0501F26CFE00,Com 1,Net_01,New Sports Centre,129,Sports Centre Logger 133,5,Emergency Light,1,kWh,Minutely,30,1
352,0501F26CFE00,Com 1,Net_01,New Sports Centre,129,Sports Centre Logger 133,5,BasePlRmlgs 01-L,2,kWh,Minutely,30,1
353,0501F26CFE00,Com 1,Net_01,New Sports Centre,129,Sports Centre Logger 133,5,BasePlRm P DB01P,3,kWh,Minutely,30,1
354,0501F26CFE00,Com 1,Net_01,New Sports Centre,129,Sports Centre Logger 133,5,Wet CH L DB-02-L,4,kWh,Minutely,30,1
